Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified
/Attraction_Review-g303428-d4376614-Reviews-Memorial_da_Policia_Militar_da_Paraiba-Joao_Pessoa_State_of_Paraiba.html,Memorial da Policia Militar da Paraiba,Museus especializados,"Praca Pedro Americo S/N, João Pessoa, Paraíba 58010-340, Brasil",N/A,N/A,11,"4,0",18%,64%,18%,0%,0%,False
/Attraction_Review-g303428-d4376610-Reviews-Museu_da_Cidade_Joao_Pessoa-Joao_Pessoa_State_of_Paraiba.html,Museu da Cidade João Pessoa,Museus especializados,"Avenida Joao Machado 348 | Centro, João Pessoa, Paraíba 58013-520, Brasil",N/A,N/A,34,"4,0",29%,52%,8%,11%,0%,False
/Attraction_Review-g303428-d12206745-Reviews-Lagoa_Shopping-Joao_Pessoa_State_of_Paraiba.html,Lagoa Shopping,Shopping centers,"Parque Solon de Lucena 205 | Condomínio do Edifício Manoel Pires, João Pessoa, Paraíba 58013-131, Brasil",N/A,N/A,4,"3,0",0%,0%,100%,0%,0%,False
/Attraction_Review-g303428-d11555673-Reviews-Shopping_Cidade-Joao_Pessoa_State_of_Paraiba.html,Shopping Cidade,Shopping centers,"Praça João Pessoa, 105, João Pessoa, Paraíba 58013-140, Brasil",N/A,N/A,3,"2,5",0%,0%,67%,0%,33%,False
/Attraction_Review-g303428-d13803850-Reviews-Academia_de_Comercio_Epitacio_Pessoa-Joao_Pessoa_State_of_Paraiba.html,Academia de Comércio Epitacio Pessoa,Obras arquitetônicas,"Rua das Trincheiras 45, João Pessoa, Paraíba 58011-000, Brasil",N/A,N/A,1,"5,0",100%,0%,0%,0%,0%,False
/Attraction_Review-g303428-d2342242-Reviews-Manancial_do_Buraquinho-Joao_Pessoa_State_of_Paraiba.html,Manancial do Buraquinho,Natureza e vida selvagem," | Centro, João Pessoa, Paraíba, Brasil",N/A,N/A,19,"4,5",42%,53%,5%,0%,0%,False
/Attraction_Review-g303428-d13814160-Reviews-Grupo_Escolar_Dr_Thomaz_Mindello-Joao_Pessoa_State_of_Paraiba.html,Grupo Escolar Dr Thomaz Mindello,Obras arquitetônicas,"Rua General Osório S/n, João Pessoa, Paraíba 58010-780, Brasil",N/A,N/A,1,"5,0",100%,0%,0%,0%,0%,False
/Attraction_Review-g303428-d4376621-Reviews-Nucleo_de_Arte_Contemporanea-Joao_Pessoa_State_of_Paraiba.html,Núcleo de Arte Contemporânea,Museus especializados,"Rua das Trincheiras 275 | Centro, João Pessoa, Paraíba 58011-000, Brasil",N/A,N/A,11,"4,0",27%,55%,18%,0%,0%,False
/Attraction_Review-g303428-d4376605-Reviews-Fotografico_Walfredo_Rodrigues_Museum-Joao_Pessoa_State_of_Paraiba.html,Museu Fotografico Walfredo Rodrigues,Museus especializados,"Ladeira Sao Francisco 216 | Centro, João Pessoa, Paraíba 58010-630, Brasil",N/A,N/A,14,"3,5",0%,58%,35%,0%,7%,False
/Attraction_Review-g303428-d15306732-Reviews-Igreja_de_Nossa_Senhora_da_Misercordia-Joao_Pessoa_State_of_Paraiba.html,Igreja de Nossa Senhora da Misericórdia,Locais religiosos e sagrados,"R. Duque de Caxias, João Pessoa, Paraíba 58010-780, Brasil",N/A,N/A,1,"5,0",100%,0%,0%,0%,0%,False
/Attraction_Review-g303428-d13630989-Reviews-Ginasio_Poliesportivo_Ronaldo_Cunha_Lima-Joao_Pessoa_State_of_Paraiba.html,Ginásio Poliesportivo Ronaldo Cunha Lima,Arenas e estádios,"Av. Eng. Agrônomo Álvaro Ferreira, João Pessoa, Paraíba 58070-408, Brasil",N/A,N/A,1,"4,0",0%,100%,0%,0%,0%,False
/Attraction_Review-g303428-d9773170-Reviews-Museu_Jose_Lins_do_Rego-Joao_Pessoa_State_of_Paraiba.html,Museu José Lins do Rêgo,Museus especializados,"Rua Abdias Gomes de Almeida 800 | dentro do Centro Cultural com o mesmo nome, João Pessoa, Paraíba 58042-900, Brasil",N/A,N/A,7,"4,5",44%,42%,14%,0%,0%,False
/Attraction_Review-g303428-d13804049-Reviews-Assembleia_Legislativa_da_Paraiba-Joao_Pessoa_State_of_Paraiba.html,AssemblEia Legislativa da Paraíba,Prédios públicos,"Praça João Pessoa, s/n, João Pessoa, Paraíba 58013-140, Brasil",N/A,N/A,2,"4,0",0%,100%,0%,0%,0%,False
/Attraction_Review-g303428-d13859772-Reviews-Balaustrada-Joao_Pessoa_State_of_Paraiba.html,Balaustrada,Monumentos e estátuas,"Av. João da Mata | Jaguaribe, João Pessoa, Paraíba 58015-020, Brasil",N/A,N/A,1,"5,0",100%,0%,0%,0%,0%,False
/Attraction_Review-g303428-d4126860-Reviews-Piolim_Theater-Joao_Pessoa_State_of_Paraiba.html,Teatro Piolim,Teatros,"Rua Professor Sizenando Costa s/n., João Pessoa, Paraíba 58020-590, Brasil",N/A,N/A,8,"3,5",0%,63%,37%,0%,0%,False
/Attraction_Review-g303428-d13925336-Reviews-Paco_Municipal-Joao_Pessoa_State_of_Paraiba.html,Paço Municipal,Obras arquitetônicas,"Praça Pedro Américo, 70, João Pessoa, Paraíba 58010-970, Brasil",N/A,N/A,1,"4,0",0%,100%,0%,0%,0%,False
/Attraction_Review-g303428-d4056633-Reviews-Gameleira_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Gameleira,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,12,"3,0",0%,25%,67%,8%,0%,False
/Attraction_Review-g303428-d4376615-Reviews-Museum_of_Earth_and_Man-Joao_Pessoa_State_of_Paraiba.html,Museu da Terra e do Homem,Museus especializados,"Rodovia Br-230 Km 21-24 | agua Fria, João Pessoa, Paraíba 58053-002, Brasil",N/A,N/A,7,"3,0",0%,44%,42%,0%,14%,False
/Attraction_Review-g793398-d8803182-Reviews-Trans_Amazonian_Highway-Cabedelo_State_of_Paraiba.html,Rodovia Transamazônica,Estradas panorâmicas,"BR-230, Cabedelo, Paraíba 58100-255, Brasil",N/A,N/A,77,"3,5",24%,24%,43%,7%,2%,False
/Attraction_Review-g303428-d10686268-Reviews-Jose_Americo_de_Almeida_Filho_Stadium-Joao_Pessoa_State_of_Paraiba.html,Estádio José Américo de Almeida Filho,Arenas e estádios,"Rod. BR-230, João Pessoa, Paraíba, Brasil",N/A,N/A,4,"3,0",0%,0%,75%,25%,0%,False
/Attraction_Review-g303428-d4376618-Reviews-Mostra_Brasil_Popular_Arts_Museum-Joao_Pessoa_State_of_Paraiba.html,Museu de Arte Popular Mostra Brasil,Museus especializados,"Praca Sao Francisco s/n | Centro, João Pessoa, Paraíba 58010-650, Brasil",N/A,N/A,10,"4,0",30%,40%,30%,0%,0%,False
/Attraction_Review-g303428-d4376612-Reviews-Big_House_of_Tiles-Joao_Pessoa_State_of_Paraiba.html,Big House of Tiles,Museus especializados,"Rua Conselheiro Henrique 159 | Centro, João Pessoa, Paraíba 58010-690, Brasil",N/A,N/A,13,"3,5",7%,38%,48%,7%,0%,False
/Attraction_Review-g303428-d4375782-Reviews-Pinacoteca-Joao_Pessoa_State_of_Paraiba.html,Pinacoteca,Museus especializados,"Universidade Federal da Paraiba, Campus I, Biblioteca Central, 2.º andar, João Pessoa, Paraíba 58059-900, Brasil",N/A,N/A,17,"4,0",35%,54%,11%,0%,0%,False
/Attraction_Review-g303428-d4126859-Reviews-Cilaio_Ribeiro_TCR_Theater-Joao_Pessoa_State_of_Paraiba.html,Teatro Ciláio Ribeiro - TCR,Teatros,"Avenida General Osorio s/n., João Pessoa, Paraíba 58010-780, Brasil",N/A,N/A,4,"3,5",25%,25%,25%,25%,0%,False
/Attraction_Review-g303428-d4376617-Reviews-Vivo_Olho_do_Tempo_Museum-Joao_Pessoa_State_of_Paraiba.html,Museu Vivo Olho do Tempo,Museus especializados,"Rua Telegrafista Geraldo Fagundes de Araujo n 10 | Gramame, João Pessoa, Paraíba 58051-990, Brasil",N/A,N/A,9,"4,0",22%,56%,22%,0%,0%,False
/Attraction_Review-g303428-d4376613-Reviews-Tito_Silva_Memorial_School_Workshop-Joao_Pessoa_State_of_Paraiba.html,Tito Silva Memorial Oficina Escola,Museus de história,"Rua da Areia 33 | Varadouro, João Pessoa, Paraíba 58010-640, Brasil",N/A,N/A,11,"4,0",46%,27%,27%,0%,0%,False
/Attraction_Review-g303428-d2342218-Reviews-Museu_Fotografico_Walfredo_Rodrigues-Joao_Pessoa_State_of_Paraiba.html,Museu Fotográfico Walfredo Rodrigues,Museus especializados,"Ladeira de São Francisco S/N | Centro, João Pessoa, Paraíba 58010-630, Brasil",N/A,N/A,10,"3,0",10%,20%,40%,30%,0%,False
/Attraction_Review-g303428-d4127654-Reviews-UFPB_Lampiao_Theater-Joao_Pessoa_State_of_Paraiba.html,UFPB - Teatro Lampião,Teatros,"Campus Universitario-Campus I, João Pessoa, Paraíba 58059-900, Brasil",N/A,N/A,13,"3,5",15%,40%,23%,15%,7%,False
/Attraction_Review-g2349671-d4451724-Reviews-Indigenous_Museum-Lagoa_Seca_State_of_Paraiba.html,Museu do Índio,Museus especializados,"Convento Ipuarana (Colégio Seráfico Santo Antônio) | Sitio Santo Antonio, Lagoa Seca, Paraíba 58117-000, Brasil",N/A,N/A,5,"4,5",40%,60%,0%,0%,0%,False
/Attraction_Review-g303428-d13792169-Reviews-Igreja_Sao_Jose_Operario-Joao_Pessoa_State_of_Paraiba.html,Igreja São José Operário,Igrejas e catedrais,"Avenida Cruz das Armas, 1167 1179, João Pessoa, Paraíba 58085-000, Brasil",N/A,N/A,1,"4,0",0%,100%,0%,0%,0%,False
/Attraction_Review-g303428-d4127655-Reviews-UFPB_Sala_Preta_Theater-Joao_Pessoa_State_of_Paraiba.html,Teatro da UFPB - Sala Preta,Teatros,"Campus Universitario-Campus I, João Pessoa, Paraíba 58059-900, Brasil",N/A,N/A,11,"3,5",9%,46%,9%,36%,0%,False
/Attraction_Review-g303428-d17561461-Reviews-Patio_Altiplano_Shopping-Joao_Pessoa_State_of_Paraiba.html,Pátio Altiplano Shopping,Shopping centers,"R. Poe. Targino Teixeira, 251, João Pessoa, Paraíba 58046-090, Brasil",N/A,N/A,1,"3,0",0%,0%,100%,0%,0%,False
/Attraction_Review-g303428-d17487822-Reviews-Circuito_Mangabeira-Joao_Pessoa_State_of_Paraiba.html,Circuito Mangabeira,Trilhas para ciclismo,"Rua Doutor Antônio Quinho | Mangabeira, João Pessoa, Paraíba 58058-663, Brasil",Ter - Dom,06:00 - 17:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
/Attraction_Review-g303428-d15606692-Reviews-IPMSJ_Igreja_Primitiva_Monte_Santo_Jerusalem-Joao_Pessoa_State_of_Paraiba.html,IPMSJ - Igreja Primitiva Monte Santo Jerusalém,Locais religiosos e sagrados,"Rua Postalista Maria Iraci Leite Cavalcanti 148C, João Pessoa, Paraíba 58059-398, Brasil",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
/Attraction_Review-g793398-d7368818-Reviews-Feira_de_Artesanato_do_Jacare-Cabedelo_State_of_Paraiba.html,Feira de Artesanato do Jacaré,Lojas especializadas e de suvenir,"Rua Praia do Jacare 76, Cabedelo, Paraíba 58105-810, Brasil",N/A,N/A,222,"4,0",39%,45%,14%,1%,1%,True
/Attraction_Review-g793398-d7368815-Reviews-Tree_House-Cabedelo_State_of_Paraiba.html,Tree House,Bares e clubes,"Rua Por do Sol | Praia do Jacaré, Cabedelo, Paraíba 58105-576, Brasil",N/A,N/A,97,"4,0",36%,39%,12%,6%,7%,False
